cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,region
GE-InN-4,ADCY8,7.47960149997095e-151,1.25477011410554,0.273,0.044,2.19728253264647e-146,GE
GE-InN-4,FAM214A,7.65050020115707e-145,1.2252992302853,0.657,0.312,2.24748744409391e-140,GE
GE-InN-4,SLIT1,2.31103508065429e-143,1.23567402349868,0.653,0.292,6.78912775643809e-139,GE
GE-InN-4,AC068308.1,5.01187535046312e-133,1.48380121496129,0.714,0.401,1.47233862170555e-128,GE
GE-InN-5,NXPH1,0.0,2.25649947890071,0.928,0.267,0.0,GE
GE-InN-5,UNC5D,2.17010536165889e-242,2.26658839632732,0.813,0.282,6.37511852094532e-238,GE
GE-InN-5,FAM135B,1.576667705891e-233,1.59499351711032,0.552,0.111,4.63177671959598e-229,GE
GE-InN-5,ERBB4,1.78575647017677e-214,1.34825079429264,0.997,0.738,5.24601678243828e-210,GE
GE-InN-5,KCNC2,9.16883566120211e-194,1.46497249694638,0.354,0.05,2.69352885219134e-189,GE
GE-InN-5,GRIA1,3.35686256087982e-170,1.3028933000372,0.953,0.541,9.86145514509664e-166,GE
GE-InN-5,MAF,2.13226634011368e-163,1.12201280161139,0.531,0.136,6.26395882735196e-159,GE
GE-InN-5,MEF2C,5.80841272043328e-163,1.41417382332022,0.756,0.297,1.70633740488169e-158,GE
GE-InN-5,NXPH2,5.72702486013601e-157,1.36104180275386,0.49,0.123,1.68242809316216e-152,GE
GE-InN-5,GRIK2,2.77786519311943e-154,1.30196825550374,0.688,0.242,8.16053457782696e-150,GE
GE-InN-5,PAM,1.64854692138531e-148,1.17259310069631,0.946,0.574,4.84293629095363e-144,GE
GE-InN-5,MPPED1,3.08087411788288e-145,1.20836950682296,0.332,0.061,9.05068389610454e-141,GE
GE-InN-5,THSD7B,5.81389529317671e-144,1.27143576619173,0.499,0.135,1.70794802027652e-139,GE
GE-InN-5,LHFPL3,3.35231500472898e-141,1.50117686339919,0.773,0.357,9.84809578939234e-137,GE
GE-InN-5,GRIA4,4.33669967081316e-141,1.14757949476995,0.931,0.478,1.27399226229478e-136,GE
GE-InN-5,BRINP2,1.20445439181729e-137,1.08518077861881,0.757,0.303,3.53832566684167e-133,GE
GE-InN-5,MAGI2,4.90392402873888e-134,1.1665940009455,0.966,0.754,1.44062576192262e-129,GE
GE-InN-5,TENM3-AS1,1.62698046428631e-131,1.25799191806645,0.457,0.122,4.77958050993389e-127,GE
GE-InN-5,TENM2,3.49775066898472e-124,1.52991478718257,0.691,0.303,1.02753421402764e-119,GE
GE-InN-5,ATRNL1,2.54088426149887e-123,1.11057145878212,0.951,0.7,7.46435569500524e-119,GE
GE-InN-6,CACNA2D3,0.0,3.05653357332232,0.699,0.062,0.0,GE
GE-InN-6,RBFOX1,2.17702796780432e-294,3.7435978649117,0.99,0.303,6.39545506101875e-290,GE
GE-InN-6,TLE4,4.27247157860143e-285,2.75833233189911,0.817,0.157,1.25512397564574e-280,GE
GE-InN-6,ZFHX4,2.75971985571594e-278,2.54005033624284,0.913,0.204,8.10722902013672e-274,GE
GE-InN-6,NFASC,5.36700531236917e-275,1.20233113487567,0.47,0.038,1.57666515061469e-270,GE
GE-InN-6,DCC,1.45616501708888e-246,3.20816519483677,0.835,0.194,4.27777597070202e-242,GE
